Date,NFLX,GOOGL,AAPL,META,AMZN
2014-06-01,62.94,29.09,20.45,66.97,16.24
2014-07-01,60.39,28.84,21.04,72.31,15.65
2014-08-01,68.23,28.98,22.56,74.47,16.95
2014-09-01,64.45,29.28,22.29,78.67,16.12
2014-10-01,56.11,28.26,23.89,74.64,15.27
2014-11-01,49.51,27.32,26.31,77.34,16.93
2014-12-01,48.8,26.41,24.52,77.65,15.52
2015-01-01,63.11,26.75,26.03,75.55,17.73
2015-02-01,67.84,28.0,28.54,78.6,19.01
2015-03-01,59.53,27.6,27.75,81.83,18.6
2015-04-01,79.5,27.31,27.91,78.4,21.09
2015-05-01,89.15,27.14,29.06,78.82,21.46
2015-06-01,93.85,26.87,28.09,85.37,21.7
2015-07-01,114.31,32.72,27.17,93.57,26.81
2015-08-01,115.03,32.24,25.25,89.01,25.64
2015-09-01,103.26,31.77,24.82,89.48,25.59
2015-10-01,108.38,36.69,26.89,101.49,31.3
2015-11-01,123.33,37.96,26.62,103.75,33.24
2015-12-01,114.38,38.72,23.78,104.17,33.79
2016-01-01,91.84,37.89,21.99,111.68,29.35
2016-02-01,93.41,35.69,21.85,106.42,27.63
2016-03-01,102.23,37.96,24.76,113.56,29.68
2016-04-01,90.03,35.23,21.29,117.03,32.98
2016-05-01,102.57,37.26,22.69,118.25,36.14
2016-06-01,91.48,35.01,21.85,113.74,35.78
2016-07-01,91.25,39.38,23.82,123.36,37.94
2016-08-01,97.45,39.3,24.25,125.53,38.46
2016-09-01,98.55,40.01,25.98,127.67,41.87
2016-10-01,124.87,40.3,26.09,130.38,39.49
2016-11-01,117.0,38.61,25.4,117.86,37.53
2016-12-01,123.8,39.43,26.75,114.51,37.49
2017-01-01,140.71,40.81,28.03,129.71,41.17
2017-02-01,142.13,42.05,31.64,134.9,42.25
2017-03-01,147.81,42.19,33.33,141.38,44.33
2017-04-01,152.2,46.01,33.32,149.55,46.25
2017-05-01,163.07,49.12,35.44,150.75,49.73
2017-06-01,149.41,46.26,33.55,150.27,48.4
2017-07-01,181.66,47.05,34.64,168.46,49.39
2017-08-01,174.71,47.53,38.2,171.16,49.03
2017-09-01,181.35,48.45,36.04,170.07,48.07
2017-10-01,196.43,51.41,39.53,179.22,55.26
2017-11-01,187.58,51.56,40.19,176.35,58.84
2017-12-01,191.96,52.42,39.72,175.63,58.47
