Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,META,META,META,META,META,META,NFLX,NFLX,NFLX,NFLX,NFLX,NFLX,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-01,28.49,29.48,27.37,29.23,29.09,789784000,63.23,68.0,61.79,67.29,66.97,863389800,59.93,64.4,58.93,62.94,62.94,352660000,15.63,17.04,15.19,16.24,16.24,1531602000,22.64,23.76,22.23,23.23,20.45,4827739200
2014-07-01,29.38,30.45,28.6,28.98,28.84,771666000,67.58,76.74,62.21,72.65,72.31,1028365000,65.18,67.98,59.79,60.39,60.39,429839200,16.29,18.24,15.59,15.65,15.65,1988520000,23.38,24.86,23.14,23.9,21.04,4140344000
2014-08-01,28.93,29.89,28.37,29.12,28.98,581574000,72.22,75.99,71.55,74.82,74.47,590763600,60.25,69.33,58.93,68.23,68.23,274274000,15.68,17.33,15.23,16.95,16.95,1240634000,23.73,25.73,23.32,25.62,22.56,3748308000
2014-09-01,29.15,30.27,28.85,29.42,29.28,708502000,75.01,79.71,73.07,79.04,78.67,720995800,68.36,69.9,62.7,64.45,64.45,268345700,17.0,17.47,15.88,16.12,16.12,1360656000,25.76,25.93,24.03,25.19,22.29,6105680000
2014-10-01,29.34,29.62,25.92,28.39,28.26,1109632000,78.78,81.16,70.32,74.99,74.64,1083643000,64.1,66.86,47.29,56.11,56.11,583226000,16.1,16.26,14.2,15.27,15.27,2221174000,25.15,27.01,23.8,27.0,23.89,5441120800
2014-11-01,28.18,28.36,26.96,27.45,27.32,595410000,75.47,78.27,72.51,77.7,77.34,490965300,56.18,56.5,49.14,49.51,49.51,256594800,15.31,17.06,14.61,16.93,16.93,1379674000,27.06,29.94,26.93,29.73,26.31,3281632800
2014-12-01,27.25,27.44,24.86,26.53,26.41,1088686000,77.26,82.17,74.4,78.02,77.65,534527100,49.29,51.14,45.08,48.8,48.8,265990200,16.91,17.03,14.65,15.52,15.52,1736428000,29.7,29.81,26.57,27.59,24.52,4294378400
2015-01-01,26.63,27.27,24.55,26.88,26.75,1056926000,78.58,79.25,73.54,75.91,75.55,546210700,49.15,65.34,45.26,63.11,63.11,425938100,15.63,17.98,14.26,17.73,17.73,2061142000,27.85,30.0,26.16,29.29,26.03,5221053600
