date,CSCO,BA,GILD,EQIX,V,CHTR,BBY,WBA,C,T,CF,FCX,BAC,PSX,PPG,ADBE,PEP,LLY,COST,LOW,MDLZ,XEL,TJX,MPC,D,MRK,UNP,ABBV,ORCL,ECL,ETR,SBUX,AMT,PG,CAT,MCD,AMZN,INTC,KMI,WELL,TMO,CCI,MMM,ES,KO,NEE,UPS,MSFT,SHW,MLM,SPG,RTX,PNC,NVDA,EXC,HD,VLO,FDX,AXP,SO,XOM,CVX,CMCSA,NKE,VTR,PLD,IBM,LIN,EOG,KMB,NEM,WFC,GS,AVB,DIS,GE,NFLX,CVS,JPM,COP,DHR,GOOGL,META,SRE,YUM,PFE,AVGO,DUK,CL,VZ,AMGN,LYB,GIS,MS,OKE,BK,UNH,GPC,HON,O,SLB,AAPL,APD,TMUS,WMT,LMT,BMY,PSA,TRV,AEP,DOW,JNJ,CRM,BWA,BLK
2019-06-28,45.58,357.59,53.67,452.68,166.43,395.18,56.27,40.87,56.13,17.3,40.33,10.86,25.0,73.15,104.42,294.65,109.82,102.26,241.41,90.42,47.13,50.0,48.81,45.88,59.53,67.2,148.24,55.94,51.99,185.69,41.21,73.77,176.28,94.48,119.28,180.67,94.68,41.72,14.5,67.5,289.6,101.96,116.18,61.44,42.67,44.32,83.0,126.77,144.9,220.39,115.18,55.93,110.08,4.08,27.38,179.74,66.37,148.37,113.79,43.67,57.59,95.42,36.34,77.96,53.99,68.84,100.62,183.87,71.68,108.49,32.27,40.17,177.14,167.04,136.27,50.98,367.32,45.04,94.17,49.17,123.34,53.88,192.1,56.66,99.11,31.38,24.44,69.27,62.3,41.01,153.39,59.42,42.96,36.23,46.07,36.91,223.88,87.29,154.3,50.31,33.85,47.54,197.67,72.26,33.68,309.72,36.56,187.69,131.62,71.06,35.28,117.56,150.63,33.65,403.68
2019-07-31,46.43,335.16,52.05,450.72,170.69,385.38,61.75,40.74,57.03,17.85,42.79,10.39,26.45,80.2,105.03,298.86,107.04,100.56,251.8,91.35,46.77,50.1,50.36,46.3,57.2,66.51,157.74,52.03,51.59,189.72,42.29,83.33,182.47,102.36,116.11,183.33,93.34,44.05,14.49,68.82,273.82,104.24,117.11,61.52,44.1,44.82,96.02,128.95,162.22,237.28,116.93,57.39,115.54,4.19,25.74,184.68,66.1,154.1,115.0,44.4,55.88,94.4,37.28,79.89,53.15,69.28,108.17,175.15,66.27,110.42,30.64,41.09,190.59,171.65,140.42,50.74,322.99,46.59,98.4,47.86,121.25,60.62,193.33,56.23,100.76,28.14,24.62,68.08,62.72,40.1,155.31,57.74,43.84,37.14,46.92,39.48,228.47,81.84,152.41,50.65,34.05,51.17,199.33,77.71,33.64,308.55,36.12,191.31,129.07,70.9,34.65,109.91,153.38,30.3,402.29
2019-08-30,39.23,359.85,50.48,501.6,173.64,409.59,51.36,38.61,51.96,18.48,41.87,8.64,23.72,77.83,99.56,284.51,114.51,104.88,269.86,101.08,48.29,53.97,50.97,40.87,59.77,69.3,142.82,51.34,47.7,194.03,45.57,85.3,198.48,104.26,104.94,190.65,88.81,41.59,14.25,74.9,283.07,113.55,109.39,64.98,46.12,47.66,96.17,130.9,166.91,243.58,108.9,56.28,104.24,4.17,27.22,196.97,59.06,143.33,111.3,46.52,52.11,91.19,38.22,78.67,57.97,71.87,100.04,173.78,57.27,114.86,33.46,39.96,177.63,174.75,134.77,40.06,293.75,50.8,93.19,42.27,122.62,59.24,184.81,58.8,104.96,26.0,23.99,73.58,64.83,42.2,174.92,53.38,44.41,34.58,48.35,35.39,214.7,76.09,146.22,54.18,27.63,50.33,197.28,76.07,35.0,329.12,39.1,208.63,129.37,74.15,31.0,109.14,154.94,26.29,363.48
2019-09-30,41.41,376.04,50.83,520.1,165.18,412.12,56.08,41.72,55.78,19.83,42.75,8.99,25.31,80.81,106.5,276.25,115.63,103.82,263.77,99.06,48.62,54.89,51.68,50.45,63.13,67.91,142.84,59.13,50.42,186.7,47.39,78.1,191.48,107.86,111.38,187.8,86.8,45.21,14.49,75.81,287.41,109.61,111.2,69.76,45.96,50.69,97.11,132.02,174.24,263.09,113.81,58.99,113.32,4.33,27.82,201.74,66.87,132.07,109.37,49.33,53.73,91.88,38.93,87.44,58.31,73.7,107.34,178.21,57.29,116.48,31.93,43.29,180.52,178.28,127.96,43.45,267.62,52.59,99.83,46.16,124.79,60.76,177.25,61.7,101.95,26.28,23.65,76.05,64.27,43.8,162.25,62.59,45.5,35.56,49.99,38.04,200.32,84.61,150.29,56.46,29.57,54.0,194.74,76.77,36.35,334.22,41.25,194.84,131.61,76.21,34.65,110.01,147.36,29.55,386.37
2019-10-31,40.11,335.95,51.09,511.07,171.76,467.86,58.39,41.32,58.03,20.45,39.4,9.28,27.13,92.19,112.44,277.93,115.69,105.79,272.61,101.04,46.1,53.72,53.45,53.11,64.31,69.91,145.91,63.03,50.15,181.07,49.06,74.7,188.84,108.67,122.47,172.05,88.83,49.59,14.22,75.84,297.97,109.44,111.6,68.34,45.95,51.85,93.34,136.14,181.35,251.39,110.17,62.04,119.57,5.0,26.2,203.97,76.08,138.51,108.86,50.04,51.41,89.97,38.89,83.37,51.98,75.89,98.71,182.47,53.73,108.96,33.45,44.31,185.88,180.21,127.57,48.51,287.41,55.78,106.82,45.06,119.08,62.64,190.76,60.41,91.41,28.06,25.09,74.78,60.36,44.33,178.8,62.75,42.36,38.67,47.37,39.6,232.93,87.15,153.42,60.39,28.29,59.97,187.19,80.56,35.91,322.75,47.05,177.04,116.01,76.78,36.72,112.27,155.35,33.58,400.3
2019-11-29,38.25,364.0,53.93,513.36,177.48,470.01,65.55,45.29,61.08,19.86,40.41,10.75,28.91,91.22,116.24,309.53,114.56,109.58,275.08,106.2,46.18,52.01,56.9,50.79,64.75,70.33,156.04,69.51,51.67,175.98,47.38,75.84,185.33,106.53,128.63,171.2,90.04,51.21,13.96,71.47,309.79,105.4,115.84,67.45,45.42,51.14,97.79,144.23,185.13,258.15,112.07,64.42,124.88,5.4,25.78,191.73,75.6,145.21,111.5,50.0,52.48,91.63,38.31,87.27,46.56,79.17,100.41,189.7,54.96,111.8,32.33,47.18,193.91,177.52,148.83,54.78,314.66,63.25,112.66,48.93,126.13,64.89,200.7,61.56,90.87,28.44,27.09,70.7,59.67,44.16,198.11,65.47,44.41,41.55,48.82,41.48,257.97,88.67,159.39,56.75,31.33,64.62,207.45,76.56,36.47,337.1,46.7,167.36,121.02,74.89,39.31,117.72,161.71,34.02,429.09
2019-12-31,40.49,323.82,52.6,528.62,180.74,485.08,71.79,44.8,64.96,20.76,41.75,12.39,30.73,88.59,120.43,329.81,116.07,122.73,269.68,108.42,48.66,54.05,56.84,50.46,65.25,73.88,160.3,70.15,48.76,182.4,48.77,78.05,199.89,109.01,131.25,173.95,92.39,52.79,15.07,69.11,320.75,113.11,120.37,69.87,47.07,52.96,95.61,150.25,185.26,268.96,110.4,65.03,130.11,5.86,26.47,191.09,74.15,137.76,115.55,51.37,53.75,94.28,39.02,94.57,46.74,77.55,100.1,196.7,64.93,113.64,36.71,46.61,201.43,174.89,142.86,54.29,323.57,62.42,119.2,53.09,132.75,66.65,204.3,63.73,90.92,28.93,27.35,73.14,60.57,45.01,203.47,66.85,44.61,42.93,52.0,42.63,272.02,90.92,158.0,54.69,35.28,71.01,207.29,76.43,36.56,335.68,52.64,170.83,121.95,77.48,40.31,124.89,161.46,35.09,438.78
2020-01-31,39.09,316.37,51.16,534.08,191.39,517.46,69.25,38.64,60.91,20.26,35.22,10.53,28.64,72.65,108.12,351.14,120.62,130.39,280.32,105.71,50.7,58.9,54.96,45.65,67.56,69.4,159.08,65.05,48.48,185.35,53.54,75.3,201.56,109.41,117.55,188.36,100.44,56.39,15.03,71.76,309.22,119.23,108.26,75.93,49.67,58.66,84.55,162.19,176.83,253.72,98.69,65.22,121.99,5.89,27.63,199.59,66.75,131.78,120.96,56.78,47.85,83.82,37.65,89.89,46.83,80.81,107.34,187.68,56.71,118.34,38.07,40.66,208.28,180.72,136.62,60.57,345.09,57.37,113.91,48.51,139.15,71.29,200.97,67.58,95.47,27.78,26.41,78.29,65.31,44.03,182.35,55.09,43.9,44.17,52.09,38.19,252.1,80.08,154.63,58.42,29.41,74.84,210.57,77.18,35.22,369.08,51.99,179.49,117.21,85.44,33.93,127.46,180.99,27.74,460.29
2020-02-28,33.96,275.11,56.14,520.93,175.09,493.17,61.86,35.08,51.95,18.96,32.48,9.44,24.86,60.12,94.64,345.12,112.13,118.39,258.49,96.92,46.65,53.05,55.87,40.12,62.31,62.19,142.56,68.81,45.72,170.55,47.93,69.95,197.26,99.41,111.19,172.03,94.19,49.22,13.81,63.86,287.11,114.02,102.77,71.01,45.49,55.59,74.66,154.78,164.48,219.37,92.6,56.98,103.8,6.73,25.22,190.61,53.06,128.61,102.39,49.12,40.2,73.88,35.25,83.66,43.52,73.33,98.22,176.48,49.2,108.39,37.71,35.76,176.98,167.29,116.21,52.93,369.03,50.06,99.93,39.81,125.06,66.64,191.58,58.81,80.92,24.93,23.6,74.22,59.82,40.12,169.79,51.3,41.19,38.06,46.42,34.03,235.92,74.66,145.58,54.1,24.12,66.26,193.72,87.87,33.13,320.93,48.78,167.75,106.69,73.69,30.29,115.89,169.16,25.7,404.13
2020-03-31,33.43,149.14,61.12,568.01,155.21,436.31,47.08,35.07,34.48,15.69,23.97,6.4,18.65,43.09,75.74,318.24,102.71,130.21,262.16,78.25,44.49,51.69,44.67,19.99,57.53,62.99,125.81,61.17,44.68,147.69,38.52,58.63,189.39,96.58,103.85,146.49,97.49,47.97,10.03,39.08,280.21,115.87,94.0,64.63,37.95,52.92,77.08,150.67,146.26,182.44,41.28,41.16,78.61,6.57,21.53,164.53,36.33,111.04,79.74,44.06,29.67,57.35,30.17,77.45,22.33,70.45,83.72,160.62,27.94,106.43,38.37,25.13,136.27,124.02,95.42,38.67,375.5,50.19,77.48,25.32,119.88,57.82,166.02,48.03,62.13,24.35,20.87,65.47,58.75,39.8,172.34,35.63,44.36,28.74,15.17,28.72,231.67,58.16,120.1,37.44,12.01,61.64,177.26,81.77,35.11,294.1,46.04,160.82,89.1,66.02,21.92,113.0,142.93,19.82,386.84
